Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,40.680000,40.889999,40.070000,40.090000,38.881477,3492554
2021-06-30,40.279999,40.660000,40.150002,40.400002,39.182137,3475871
2021-07-01,41.340000,41.630001,41.145000,41.439999,40.190777,4508802
2021-07-02,41.169998,41.365002,40.849998,41.330002,40.084099,3473534
2021-07-06,41.669998,41.669998,40.349998,40.750000,39.521580,5337430
2021-07-07,40.590000,41.090000,39.939999,40.349998,39.133633,5659883
2021-07-08,39.759998,40.650002,39.665001,40.389999,39.172432,5411285
2021-07-09,40.580002,40.965000,40.340000,40.950001,39.715553,2878617
2021-07-12,40.470001,40.980000,40.259998,40.560001,39.337311,3318297
2021-07-13,40.790001,40.840000,40.279999,40.340000,39.123940,4011844
2021-07-14,40.910000,41.169998,39.860001,39.970001,38.765095,3920482
2021-07-15,39.160000,39.580002,38.939999,39.040001,37.863129,4901509
2021-07-16,39.349998,39.450001,38.279999,38.380001,37.223022,6143016
2021-07-19,37.570000,37.764999,36.709999,37.080002,35.962212,6520785
2021-07-20,36.590000,37.279999,36.320000,37.150002,36.030106,5575205
2021-07-21,37.990002,38.650002,37.930000,38.480000,37.320011,5126347
2021-07-22,38.439999,38.439999,37.799999,38.090000,36.941769,4946128
2021-07-23,38.150002,38.310001,37.669998,37.869999,36.728394,3112848
2021-07-26,38.529999,39.270000,38.509998,39.250000,38.066799,4496757
2021-07-27,38.959999,39.439999,38.779999,39.279999,38.095894,4434860
2021-07-28,39.279999,39.599998,39.020000,39.509998,38.318958,4328139
2021-07-29,41.450001,41.660000,40.834999,40.950001,39.715553,7483553
2021-07-30,41.029999,41.080002,40.380001,40.619999,39.395496,4895324
2021-08-02,41.040001,41.540001,40.529999,40.570000,39.347008,5048504
2021-08-03,41.220001,41.689999,40.650002,41.619999,40.365353,6500606
2021-08-04,41.099998,41.419998,40.669998,40.669998,39.443989,4527447
2021-08-05,41.430000,41.660000,41.150002,41.200001,39.958015,4347757
2021-08-06,41.459999,41.610001,41.209999,41.349998,40.103493,3848844
2021-08-09,41.080002,41.275002,40.810001,41.040001,39.802837,4113970
2021-08-10,40.915001,41.540001,40.790001,41.500000,40.248970,4462006
2021-08-11,41.560001,41.880001,41.380001,41.860001,40.598118,4311810
2021-08-12,41.189999,41.250000,40.759998,41.099998,40.323406,3899282
2021-08-13,40.779999,40.919998,40.410000,40.450001,39.685692,3133945
2021-08-16,39.810001,39.840000,39.380001,39.709999,38.959671,4457970
2021-08-17,39.650002,40.369999,39.474998,39.790001,39.038166,4722715
2021-08-18,39.810001,39.990002,39.220001,39.230000,38.488743,4283798
2021-08-19,38.730000,38.799999,38.020000,38.340000,37.615562,6197730
2021-08-20,38.080002,38.375000,37.965000,38.180000,37.458584,4461573
2021-08-23,38.950001,39.509998,38.939999,39.490002,38.743835,4420044
2021-08-24,39.490002,39.840000,39.389999,39.730000,38.979298,3675550
2021-08-25,39.580002,39.849998,39.389999,39.700001,38.949863,4088650
2021-08-26,39.790001,39.904999,39.389999,39.419998,38.675152,3058263
2021-08-27,39.740002,40.505001,39.720001,40.299999,39.538525,4245367
2021-08-30,40.240002,40.294998,39.935001,39.939999,39.185326,3404506
2021-08-31,39.849998,40.049999,39.650002,39.759998,39.008728,3473380
2021-09-01,39.970001,40.040001,39.474899,39.599998,38.851749,4072820
2021-09-02,39.990002,40.689999,39.959999,40.310001,39.548340,5691226
2021-09-03,40.270000,40.419998,39.939999,40.150002,39.391361,3185750
2021-09-07,40.000000,40.450001,39.935001,40.090000,39.332493,3110304
2021-09-08,40.070000,40.290001,39.500000,39.529999,38.783073,3965063
2021-09-09,39.330002,39.750000,39.169998,39.349998,38.606472,3886487
2021-09-10,39.720001,39.820000,39.439999,39.470001,38.724209,3928830
2021-09-13,40.000000,40.615002,40.000000,40.320000,39.558147,6071641
2021-09-14,41.020000,41.035000,40.025002,40.110001,39.352116,5310356
2021-09-15,40.820000,41.509998,40.799999,41.490002,40.706043,5699571
2021-09-16,41.400002,41.400002,40.584999,40.860001,40.087944,3981661
2021-09-17,40.759998,40.900002,40.099998,40.360001,39.597393,4509557
2021-09-20,39.639999,39.830002,39.009998,39.490002,38.743835,5523782
2021-09-21,41.389999,41.490002,40.645000,40.970001,40.195869,10815922
2021-09-22,41.779999,41.959999,41.224998,41.240002,40.460766,6229359
2021-09-23,41.770000,42.400002,41.599998,42.290001,41.490925,8434533
2021-09-24,41.849998,42.230000,41.790001,41.980000,41.186779,5378687
2021-09-27,43.439999,44.294998,43.410000,44.169998,43.335400,7267952
2021-09-28,45.360001,45.410000,44.419998,44.470001,43.629734,9512505
2021-09-29,44.340000,44.775700,43.955002,44.570000,43.727844,5864205
2021-09-30,44.880001,45.165001,44.400002,44.570000,43.727844,6267877
2021-10-01,45.070000,45.519001,44.750000,45.389999,44.532349,5399585
2021-10-04,45.840000,46.485001,45.570000,45.680000,44.816868,8077445
2021-10-05,46.290001,46.830002,45.980000,46.529999,45.650806,6626148
2021-10-06,45.514999,45.810001,45.080002,45.459999,44.601025,7143435
2021-10-07,45.419998,46.224998,45.290001,46.029999,45.160255,7115014
2021-10-08,46.590000,47.130001,46.570000,46.570000,45.690052,8666390
2021-10-11,47.459999,47.610001,47.043400,47.119999,46.229660,6026507
2021-10-12,47.259998,47.549999,46.930000,47.009998,46.121738,5994923
2021-10-13,46.799999,47.695000,46.630001,47.470001,46.573048,7010357
2021-10-14,48.410000,48.450001,47.830002,48.090000,47.181335,5560309
2021-10-15,48.689999,48.990002,48.560001,48.709999,47.789616,5178507
2021-10-18,48.709999,48.939999,48.480000,48.599998,47.681694,5068382
2021-10-19,49.160000,49.355000,48.930000,49.290001,48.358658,4475344
2021-10-20,49.040001,49.770000,48.869999,49.439999,48.505821,6833117
2021-10-21,49.220001,49.400002,48.467098,48.849998,47.926968,4566315
2021-10-22,48.639999,48.860001,48.169998,48.689999,47.769997,4391622
2021-10-25,49.080002,49.279999,48.785000,49.060001,48.133003,4869868
2021-10-26,49.209999,49.310001,48.625000,48.860001,47.936783,3395254
2021-10-27,48.599998,50.750000,48.369999,49.970001,49.025810,16960466
2021-10-28,48.000000,48.060799,46.811401,47.439999,46.543613,14544797
2021-10-29,46.349998,46.709999,45.834999,45.919998,45.052334,7518569
2021-11-01,46.369999,46.500000,45.904999,46.160000,45.287800,4981495
2021-11-02,45.349998,45.549999,45.095001,45.400002,44.542160,4611937
2021-11-03,44.529999,44.970001,44.450001,44.790001,43.943687,6074660
2021-11-04,45.439999,45.540001,44.634998,44.869999,44.022175,6636011
